DATETIME,PCNAME,MACADDRESS,UPLOADFW_RESULT,WRITEGPON_RESULT,WRITEWPS_RESULT,WRITEMAC_RESULT,LANPORT1_RESULT,LANPORT2_RESULT,LANPORT3_RESULT,LANPORT4_RESULT,USB2_RESULT,USB3_RESULT,BUTTON_WPS_RESULT,BUTTON_RESET_RESULT,LEDPOWER_RESULT,LEDPON_RESULT,LEDINET_RESULT,LEDWLAN_RESULT,LEDLAN1_RESULT,LEDLAN2_RESULT,LEDLAN3_RESULT,LEDLAN4_RESULT,LEDWPS_RESULT,LEDLOS_RESULT,MESSAGE,TOTAL_RESULT
2018/03/01 09:12:07,ACER4738Z-PC,A4F4C2010203,--,--,--,--,--,--,--,--,--,--,PASS,PASS,--,--,--,--,--,--,--,--,--,--,--,PASS
2018/03/01 09:18:40,ACER4738Z-PC,A4F4C2010203,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/01 09:24:33,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,--,PASS
2018/03/01 09:37:55,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,FAIL,PASS,FAIL,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/01 09:43:56,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,--,--,--,--,PASS,PASS,PASS,PASS,--,--,--,--,--,--,--,--,--,--,--,PASS
2018/03/01 09:54:34,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,--,--,--,--,PASS,PASS,PASS,PASS,--,--,--,--,--,--,--,--,--,--,--,PASS
2018/03/01 10:05:32,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,--,--,--,--,PASS,PASS,PASS,PASS,--,--,--,--,--,--,--,--,--,--,--,PASS
2018/03/01 11:41:41,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,PASS
2018/03/01 11:45:08,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,PASS
2018/03/01 11:47:47,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,PASS
